,Month,Province,Mean_Temp,Min_Temp,Max_Temp,Mean_Diff_from_Normal,Snowfall,Percent_of_Normal_Snowfall,Total_Precip,Percent_of_Normal_Precip,Snow_on_Ground,Days_with_Precip,Heating_Degree_Days,Cooling_Degree_Days
1270,2018-08,ON,20.057051282051283,8.544585987261147,31.305625,1.98125,0.0,0.0,89.18827586206896,96.875,0.0,8.048275862068966,23.076923076923077,84.44935897435897
1271,2018-08,QC,17.410280373831778,5.402020202020202,29.530150753768844,2.7,0.0,0.0,78.1445054945055,88.9375,0.0,8.989010989010989,59.56728971962617,45.77009345794392
1272,2018-09,BC,12.183962264150944,2.8306603773584906,24.37323943661972,-0.70375,0.7661290322580645,64.75,105.90976744186045,182.6,0.047619047619047616,10.688372093023256,158.18018867924528,1.260377358490566
1273,2018-09,AB,6.672908366533865,-5.620238095238095,25.65494071146245,-3.9823529411764707,11.258333333333333,258.6,39.10450819672131,143.15384615384616,0.42857142857142855,7.782786885245901,321.7553784860558,0.8633466135458167
1274,2018-09,SK,7.092499999999999,-7.253749999999999,24.27283950617284,-3.569230769230769,5.074074074074074,388.55555555555554,40.27926829268293,98.58333333333333,0.0,7.390243902439025,298.96125,0.825
1275,2018-09,MB,8.273770491803278,-4.983606557377049,24.057377049180328,-3.1999999999999997,2.314285714285714,68.71428571428571,63.99,131.27272727272728,0.0,9.614285714285714,261.2262295081967,1.278688524590164
1276,2018-09,ON,15.335031847133758,2.136305732484076,29.39254658385093,2.193548387096774,0.01764705882352941,12.75,74.20068965517241,86.6,0.0,8.689655172413794,107.25732484076434,37.12229299363057
1277,2018-09,QC,11.877570093457944,-1.3223350253807107,27.704040404040402,1.1,0.4102040816326531,0.0,85.99670329670329,110.875,0.0,9.071428571428571,180.31495327102803,12.817757009345794
1278,2018-10,BC,7.797356828193832,-0.9043859649122806,17.0390350877193,0.03846153846153847,2.221138211382114,28.638297872340427,85.6675925925926,91.125,0.5277777777777778,9.458333333333334,266.06299559471364,0.0
1279,2018-10,AB,3.340711462450593,-8.7699604743083,21.918897637795276,-0.8875000000000001,14.018181818181818,119.54545454545455,17.894238683127572,100.33333333333333,0.5806451612903226,3.753086419753086,426.4079051383399,0.0
1280,2018-10,SK,1.730232558139535,-11.094186046511629,18.44137931034483,-1.830769230769231,9.78076923076923,162.57142857142858,15.535802469135804,92.07692307692308,1.775,3.654320987654321,437.4825581395349,0.0
1281,2018-10,MB,0.7588235294117647,-10.248529411764705,15.958823529411765,-2.6333333333333333,14.049999999999999,153.42857142857142,33.86376811594203,101.11111111111111,2.176470588235294,6.855072463768116,437.8044117647059,0.0
1282,2018-10,ON,5.829479768786127,-4.145977011494253,20.926553672316384,-0.4096774193548387,6.176811594202898,112.92857142857143,82.58961038961039,113.6,0.3835616438356164,11.636363636363637,302.18381502890173,3.5
1283,2018-10,QC,2.253543307086614,-7.676388888888888,18.830092592592592,-2.6,5.084848484848485,144.69811320754718,78.68297872340425,108.375,0.8795180722891566,11.50531914893617,377.6590551181102,0.1125984251968504
1284,2018-11,BC,4.236888888888888,-4.0712389380530976,12.511061946902656,1.841025641025641,8.041803278688525,15.27450980392157,165.1658878504673,97.90196078431373,4.394736842105263,13.271028037383177,382.55022222222226,0.0
1285,2018-11,AB,-3.6892857142857145,-20.867857142857144,10.06626984126984,1.29375,19.354545454545455,109.33333333333333,19.13099173553719,119.92857142857143,6.290909090909091,5.582644628099174,634.4031746031746,0.0
1286,2018-11,SK,-7.701190476190476,-24.10952380952381,5.375,-1.416,13.148,78.88888888888889,17.06025641025641,97.0,7.60655737704918,5.166666666666667,734.5964285714285,0.0
1287,2018-11,MB,-10.040298507462687,-25.56865671641791,3.488059701492537,-2.7916666666666665,21.957142857142856,101.63636363636364,16.916176470588233,88.66666666666667,11.127272727272727,4.970588235294118,781.1134328358208,0.0
1288,2018-11,ON,-2.3915254237288135,-18.989830508474576,10.133898305084745,-2.74375,33.2112676056338,224.53333333333333,75.23612903225806,105.6,7.431034482758621,11.374193548387098,579.4367231638419,0.0
1289,2018-11,QC,-4.56390977443609,-20.879545454545454,8.599545454545455,-2.4,49.12474226804124,259.88461538461536,91.95860215053763,126.46666666666667,19.220338983050848,12.612903225806452,643.7067669172932,0.0
1290,2018-12,BC,0.9862222222222222,-8.37433628318584,9.345575221238938,1.6740259740259742,26.661475409836065,63.23913043478261,177.87652582159623,115.5,17.49264705882353,13.446009389671362,486.73333333333335,0.0
1291,2018-12,AB,-7.308661417322835,-24.51220472440945,6.870472440944882,2.8375,20.990909090909092,140.54545454545453,14.915637860082304,140.0,15.844827586206897,3.8518518518518516,749.5807086614174,0.0
1292,2018-12,SK,-10.147619047619047,-31.198809523809523,4.082142857142857,3.1239999999999997,12.356,75.125,10.189873417721518,59.4,12.661290322580646,3.0632911392405062,828.5642857142857,0.0
1293,2018-12,MB,-12.467692307692307,-32.19846153846154,3.2800000000000002,3.0090909090909093,17.896296296296295,81.22222222222223,13.965151515151517,74.54545454545455,16.654545454545456,4.136363636363637,910.7092307692308,0.0
1294,2018-12,ON,-5.148,-19.56,8.418857142857142,1.3225806451612903,20.624285714285715,51.15384615384615,55.05384615384615,113.46153846153847,11.583333333333334,8.628205128205128,676.4897142857143,0.0
1295,2018-12,QC,-10.08702290076336,-25.79269406392694,6.325114155251142,-0.5,34.16881720430107,65.92592592592592,71.16553672316384,118.94117647058823,15.393162393162394,9.282485875706215,840.991603053435,0.0
1296,2019-01,BC,1.0622807017543858,-8.664628820960699,9.231004366812227,1.8784810126582279,21.826771653543307,48.170731707317074,134.27018348623855,86.73170731707317,19.67132867132867,10.903669724770642,483.6245614035087,0.0
1297,2019-01,AB,-7.991699604743084,-26.94308300395257,8.892885375494071,3.05,18.654545454545453,101.0,12.391769547325103,108.61538461538461,15.672413793103448,3.802469135802469,775.4169960474309,0.0
1298,2019-01,SK,-14.869047619047619,-35.00119047619047,3.7369047619047615,1.0538461538461539,13.772,75.3,12.905063291139241,67.0,16.203125,3.8734177215189876,975.272619047619,0.0
1299,2019-01,MB,-20.209090909090907,-41.20454545454545,1.240909090909091,-1.190909090909091,22.003703703703703,93.11111111111111,17.765151515151516,97.83333333333333,23.267857142857142,4.96969696969697,1131.1560606060607,0.0
1300,2019-01,ON,-12.391477272727274,-31.21534090909091,4.7392045454545455,-1.196875,55.35,137.8,50.6058064516129,109.0,30.983606557377048,9.477419354838709,887.5625,0.0
1301,2019-01,QC,-15.878030303030304,-30.82785388127854,1.2296803652968038,-0.6,82.57765957446809,176.625,80.69719101123596,153.55555555555554,55.59842519685039,12.292134831460674,1005.1689393939394,0.0
1302,2019-02,BC,-5.1383259911894275,-17.46315789473684,6.458333333333333,-5.541025641025641,34.308,220.94,47.776388888888896,64.72222222222223,26.664429530201343,7.611111111111111,608.4484581497796,0.0
