Climate_ID,Mean_Temp,Min_Temp,Max_Temp,Mean_Diff_from_Normal,Snowfall,Percent_of_Normal_Snowfall,Total_Precip,Percent_of_Normal_Precip,Snow_on_Ground,Days_with_Precip,Heating_Degree_Days,Cooling_Degree_Days,Mean_Temp_Normalized,Min_Temp_Normalized,Max_Temp_Normalized,Mean_Diff_from_Normal_Normalized,Snowfall_Normalized,Percent_of_Normal_Snowfall_Normalized,Total_Precip_Normalized,Percent_of_Normal_Precip_Normalized,Snow_on_Ground_Normalized,Days_with_Precip_Normalized,Heating_Degree_Days_Normalized,Cooling_Degree_Days_Normalized,Mean_Temp_Binned,Mean_Temp_Binned_Encoded,Min_Temp_Binned,Min_Temp_Binned_Encoded,Max_Temp_Binned,Max_Temp_Binned_Encoded,Mean_Diff_from_Normal_Binned,Mean_Diff_from_Normal_Binned_Encoded,Snowfall_Binned,Snowfall_Binned_Encoded,Percent_of_Normal_Snowfall_Binned,Percent_of_Normal_Snowfall_Binned_Encoded,Total_Precip_Binned,Total_Precip_Binned_Encoded,Percent_of_Normal_Precip_Binned,Percent_of_Normal_Precip_Binned_Encoded,Snow_on_Ground_Binned,Snow_on_Ground_Binned_Encoded,Days_with_Precip_Binned,Days_with_Precip_Binned_Encoded,Heating_Degree_Days_Binned,Heating_Degree_Days_Binned_Encoded,Cooling_Degree_Days_Binned,Cooling_Degree_Days_Binned_Encoded
20,3.805769231,-13.78653846,29.13910256,0.060576923,9.759285714,102.4545455,16.05144509,67.56410256,0.105263158,4.317919075,424.699359,1.508333333,0.602909635,0.531027807,0.82036747,0.596398551,0.095509631,0.164916773,0.05245745,0.181172557,0.001354085,0.194015309,0.338769404,0.012692972,"(3.516, 4.503]",19,"(-14.259, -12.888]",15,"(28.904, 29.252]",31,"(0.0242, 0.128]",17,"(9.419, 10.699]",15,"(99.193, 105.141]",19,"(15.263, 16.625]",5,"(65.731, 68.832]",7,"(0.0579, 0.138]",2,"(4.183, 4.4]",6,"(409.25, 434.277]",22,"(1.088, 1.96]",6
21,3.313793103,-12.07413793,26.01206897,0.722580645,9.027642276,86,23.46912752,90.64367816,0.189542484,5.174496644,439.9224138,1.125862069,0.5920898,0.563062128,0.749879437,0.628259717,0.088349374,0.138430584,0.080229516,0.253031128,0.002438237,0.238654028,0.351114488,0.009474388,"(2.71, 3.516]",18,"(-12.888, -11.594]",16,"(26.0, 26.688]",26,"(0.7, 0.808]",23,"(8.209, 9.419]",14,"(83.156, 87.911]",16,"(22.381, 24.254]",9,"(88.898, 91.187]",16,"(0.138, 0.294]",3,"(5.101, 5.309]",10,"(434.277, 453.368]",23,"(1.088, 1.96]",6
22,6.207327586,-6.103448276,25.20775862,1.04516129,5.930612245,55.73170732,51.2012766,83.91129032,0.009852217,8.527659574,342.7206897,0.264224138,0.65572615,0.67475737,0.731749074,0.643785001,0.058040168,0.089708986,0.184059663,0.232069747,0.000126737,0.413396984,0.272289082,0.002223507,"(5.675, 6.576]",21,"(-6.247, -4.991]",22,"(25.145, 26.0]",25,"(1.043, 1.188]",26,"(5.509, 6.688]",12,"(54.368, 59.501]",11,"(49.319, 51.742]",19,"(82.582, 84.924]",13,"(-0.001, 0.00997]",0,"(8.345, 8.561]",23,"(330.602, 358.708]",19,"(0.207, 0.572]",4
23,3.030909091,-9.156363636,20.72145455,-0.1075,5.5855,27.2992126,33.99442231,43.33870968,1.801020408,7.039840637,440.1596364,0.009090909,0.585868445,0.61764569,0.630621045,0.588309281,0.054662714,0.043942395,0.119636592,0.105746469,0.023167974,0.335862464,0.351306863,7.65E-05,"(2.71, 3.516]",18,"(-9.3, -8.327]",19,"(20.224, 21.561]",20,"(-0.212, -0.086]",15,"(5.509, 6.688]",12,"(24.514, 30.214]",6,"(32.142, 35.115]",13,"(35.963, 44.166]",1,"(1.504, 2.146]",7,"(6.86, 7.123]",17,"(434.277, 453.368]",23,"(0.00328, 0.0186]",1
24,10.51077844,-0.442215569,25.39101796,-0.658585859,1.368923077,23.88617886,74.25265957,96.63392857,0.543478261,9.920212766,224.644012,3.646107784,0.750370229,0.780663521,0.735880015,0.561786411,0.013397019,0.038448578,0.270364856,0.271681853,0.006991198,0.485966932,0.176535203,0.030682836,"(10.431, 11.443]",26,"(-1.001, 0.261]",28,"(25.145, 26.0]",25,"(-0.783, -0.634]",10,"(0.916, 1.472]",7,"(16.775, 24.514]",5,"(73.277, 75.39]",28,"(96.055, 97.851]",19,"(0.294, 0.585]",4,"(9.714, 9.976]",29,"(215.885, 247.339]",15,"(3.302, 4.642]",8
25,9.599426934,-3.820630372,26.64469914,1.078431373,4.066563467,12.05217391,32.20027322,59.37288136,0.101604278,5.986338798,249.1412607,2.676217765,0.730327238,0.717462638,0.764139871,0.645386236,0.039797582,0.019399878,0.112919234,0.155669079,0.001307018,0.280961456,0.196401164,0.022520988,"(9.474, 10.431]",25,"(-4.104, -3.28]",24,"(26.0, 26.688]",26,"(1.043, 1.188]",26,"(3.257, 4.249]",10,"(10.523, 16.775]",4,"(32.142, 35.115]",13,"(59.366, 63.031]",5,"(0.0579, 0.138]",2,"(5.897, 6.133]",13,"(247.339, 275.72]",16,"(1.96, 3.302]",7
26,11.58407643,-3.428025478,29.20254777,1.23047619,0.739416058,7.155963303,27.95116279,59.66086957,0,5.494186047,200.9828025,3.696815287,0.773974844,0.7248072,0.82179762,0.652703907,0.007236324,0.011518653,0.097010414,0.156565734,0,0.255313961,0.157347226,0.031109551,"(11.443, 12.206]",27,"(-4.104, -3.28]",24,"(28.904, 29.252]",31,"(1.188, 1.294]",27,"(0.495, 0.916]",6,"(5.428, 10.523]",3,"(26.84, 29.761]",11,"(59.366, 63.031]",5,"(-0.001, 0.00997]",0,"(5.309, 5.573]",11,"(194.421, 215.885]",14,"(3.302, 4.642]",8
27,11.4773913,-1.85826087,26.85217391,1.601612903,0.618548387,13.30487805,81.67533333,143.5287356,0,11.24666667,204.6217391,2.264347826,0.77162856,0.754173194,0.768816664,0.670566115,0.006053448,0.021416303,0.298155609,0.417689469,0,0.555092257,0.16029821,0.019055008,"(11.443, 12.206]",27,"(-1.885, -1.001]",27,"(26.688, 27.522]",27,"(1.558, 1.685]",30,"(0.495, 0.916]",6,"(10.523, 16.775]",4,"(80.661, 84.872]",31,"(141.207, 145.612]",35,"(-0.001, 0.00997]",0,"(11.04, 11.429]",34,"(194.421, 215.885]",14,"(1.96, 3.302]",7
28,13.24034335,-0.398283262,27.7248927,1.489516129,0.18974359,13.55319149,87.71563786,109.192,0,11.14403292,148.3957082,5.539055794,0.810400461,0.781485374,0.788489056,0.665171079,0.001856933,0.021816002,0.320770723,0.310781578,0,0.549743718,0.114701902,0.046612429,"(12.962, 13.699]",29,"(-1.001, 0.261]",28,"(27.522, 27.997]",28,"(1.428, 1.558]",29,"(0.15, 0.309]",4,"(10.523, 16.775]",4,"(84.872, 87.882]",32,"(108.225, 109.745]",25,"(-0.001, 0.00997]",0,"(11.04, 11.429]",34,"(148.246, 171.81]",12,"(4.642, 6.52]",9
29,12.31123188,-2.269565217,28.03297101,2.12375,0.384343434,7.138888889,65.1314741,77.3828125,0.005208333,8.737051793,177.4431159,4.125,0.789966883,0.746478817,0.795433604,0.695695728,0.003761392,0.011491169,0.236214815,0.211743243,6.70E-05,0.424309014,0.138257798,0.034712824,"(12.206, 12.962]",28,"(-2.565, -1.885]",26,"(27.997, 28.474]",29,"(2.002, 2.269]",33,"(0.309, 0.495]",5,"(5.428, 10.523]",3,"(62.548, 65.148]",24,"(74.479, 77.85]",10,"(-0.001, 0.00997]",0,"(8.561, 8.791]",24,"(171.81, 194.421]",13,"(3.302, 4.642]",8
30,12.96656805,3.325294118,24.88348083,-1.385427136,0.056193353,34.5,73.59116883,103.1057269,0.057401813,11.58701299,146.1032544,2.643786982,0.80437943,0.851143303,0.724439366,0.526804718,0.000549938,0.055533199,0.267888211,0.291831885,0.000738406,0.572828682,0.112842844,0.022248076,"(12.962, 13.699]",29,"(3.152, 3.737]",33,"(24.369, 25.145]",24,"(-1.604, -1.355]",6,"(0.0287, 0.0753]",2,"(30.214, 37.363]",7,"(73.277, 75.39]",28,"(102.075, 103.79]",22,"(0.00997, 0.0579]",1,"(11.429, 11.768]",35,"(129.833, 148.246]",11,"(1.96, 3.302]",7
31,12.0393617,1.067021277,26.22234043,-0.789215686,1.161756374,21.66666667,83.37341772,94.85,0,12.58481013,177.4066489,2.097606383,0.783987751,0.808897207,0.754619272,0.555499409,0.011369574,0.034875922,0.304513297,0.266127568,0,0.624826758,0.138228225,0.01765184,"(11.443, 12.206]",27,"(0.261, 1.218]",29,"(26.0, 26.688]",26,"(-0.914, -0.783]",9,"(0.916, 1.472]",7,"(16.775, 24.514]",5,"(80.661, 84.872]",31,"(93.871, 96.055]",18,"(-0.001, 0.00997]",0,"(12.573, 13.386]",38,"(171.81, 194.421]",13,"(1.96, 3.302]",7
