"REF_DATE","GEO","DGUID","Type of grain","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2008-03","British Columbia","2016A000259","Wheat, excluding durum","Tonnes","288","units","0","v40070","1.3","0","","","","0"
"2008-04","British Columbia","2016A000259","Wheat, excluding durum","Tonnes","288","units","0","v40070","1.3","0","","","","0"
"2008-05","British Columbia","2016A000259","Wheat, excluding durum","Tonnes","288","units","0","v40070","1.3","0","","","","0"
"2008-06","British Columbia","2016A000259","Wheat, excluding durum","Tonnes","288","units","0","v40070","1.3","0","","","","0"
"2008-07","British Columbia","2016A000259","Wheat, excluding durum","Tonnes","288","units","0","v40070","1.3","0","","","","0"
"2008-08","British Columbia","2016A000259","Wheat, excluding durum","Tonnes","288","units","0","v40070","1.3","3314","","","","0"
"2008-09","British Columbia","2016A000259","Wheat, excluding durum","Tonnes","288","units","0","v40070","1.3","4769","","","","0"
"2008-10","British Columbia","2016A000259","Wheat, excluding durum","Tonnes","288","units","0","v40070","1.3","6614","","","","0"
"2008-11","British Columbia","2016A000259","Wheat, excluding durum","Tonnes","288","units","0","v40070","1.3","5683","","","","0"
"2008-12","British Columbia","2016A000259","Wheat, excluding durum","Tonnes","288","units","0","v40070","1.3","5574","","","","0"
"2009-01","British Columbia","2016A000259","Wheat, excluding durum","Tonnes","288","units","0","v40070","1.3","1804","","","","0"
"2009-02","British Columbia","2016A000259","Wheat, excluding durum","Tonnes","288","units","0","v40070","1.3","8176","","","","0"
"2009-03","British Columbia","2016A000259","Wheat, excluding durum","Tonnes","288","units","0","v40070","1.3","0","","","","0"
"2009-04","British Columbia","2016A000259","Wheat, excluding durum","Tonnes","288","units","0","v40070","1.3","0","","","","0"
"2009-05","British Columbia","2016A000259","Wheat, excluding durum","Tonnes","288","units","0","v40070","1.3","0","","","","0"
"2009-06","British Columbia","2016A000259","Wheat, excluding durum","Tonnes","288","units","0","v40070","1.3","0","","","","0"
"2009-07","British Columbia","2016A000259","Wheat, excluding durum","Tonnes","288","units","0","v40070","1.3","0","","","","0"
"2009-08","British Columbia","2016A000259","Wheat, excluding durum","Tonnes","288","units","0","v40070","1.3","756","","","","0"
"2009-09","British Columbia","2016A000259","Wheat, excluding durum","Tonnes","288","units","0","v40070","1.3","16657","","","","0"
"2009-10","British Columbia","2016A000259","Wheat, excluding durum","Tonnes","288","units","0","v40070","1.3","9537","","","","0"
"2009-11","British Columbia","2016A000259","Wheat, excluding durum","Tonnes","288","units","0","v40070","1.3","17347","","","","0"
"2009-12","British Columbia","2016A000259","Wheat, excluding durum","Tonnes","288","units","0","v40070","1.3","8735","","","","0"
"2010-01","British Columbia","2016A000259","Wheat, excluding durum","Tonnes","288","units","0","v40070","1.3","6712","","","","0"
"2010-02","British Columbia","2016A000259","Wheat, excluding durum","Tonnes","288","units","0","v40070","1.3","2583","","","","0"
"2010-03","British Columbia","2016A000259","Wheat, excluding durum","Tonnes","288","units","0","v40070","1.3","0","","","","0"
"2010-04","British Columbia","2016A000259","Wheat, excluding durum","Tonnes","288","units","0","v40070","1.3","0","","","","0"
"2010-05","British Columbia","2016A000259","Wheat, excluding durum","Tonnes","288","units","0","v40070","1.3","0","","","","0"
"2010-06","British Columbia","2016A000259","Wheat, excluding durum","Tonnes","288","units","0","v40070","1.3","0","","","","0"
"2010-07","British Columbia","2016A000259","Wheat, excluding durum","Tonnes","288","units","0","v40070","1.3","0","","","","0"
"2010-08","British Columbia","2016A000259","Wheat, excluding durum","Tonnes","288","units","0","v40070","1.3","3246","","","","0"
"2010-09","British Columbia","2016A000259","Wheat, excluding durum","Tonnes","288","units","0","v40070","1.3","12304","","","","0"
"2010-10","British Columbia","2016A000259","Wheat, excluding durum","Tonnes","288","units","0","v40070","1.3","3288","","","","0"
"2010-11","British Columbia","2016A000259","Wheat, excluding durum","Tonnes","288","units","0","v40070","1.3","5697","","","","0"
"2010-12","British Columbia","2016A000259","Wheat, excluding durum","Tonnes","288","units","0","v40070","1.3","6343","","","","0"
"2011-01","British Columbia","2016A000259","Wheat, excluding durum","Tonnes","288","units","0","v40070","1.3","4802","","","","0"
"2011-02","British Columbia","2016A000259","Wheat, excluding durum","Tonnes","288","units","0","v40070","1.3","2954","","","","0"
"2011-03","British Columbia","2016A000259","Wheat, excluding durum","Tonnes","288","units","0","v40070","1.3","0","","","","0"
"2011-04","British Columbia","2016A000259","Wheat, excluding durum","Tonnes","288","units","0","v40070","1.3","0","","","","0"
"2011-05","British Columbia","2016A000259","Wheat, excluding durum","Tonnes","288","units","0","v40070","1.3","0","","","","0"
"2011-06","British Columbia","2016A000259","Wheat, excluding durum","Tonnes","288","units","0","v40070","1.3","0","","","","0"
"2011-07","British Columbia","2016A000259","Wheat, excluding durum","Tonnes","288","units","0","v40070","1.3","0","","","","0"
"2011-08","British Columbia","2016A000259","Wheat, excluding durum","Tonnes","288","units","0","v40070","1.3","1009","","","","0"
"2011-09","British Columbia","2016A000259","Wheat, excluding durum","Tonnes","288","units","0","v40070","1.3","5281","","","","0"
"2011-10","British Columbia","2016A000259","Wheat, excluding durum","Tonnes","288","units","0","v40070","1.3","10171","","","","0"
"2011-11","British Columbia","2016A000259","Wheat, excluding durum","Tonnes","288","units","0","v40070","1.3","26952","","","","0"
"2011-12","British Columbia","2016A000259","Wheat, excluding durum","Tonnes","288","units","0","v40070","1.3","11912","","","","0"
"2012-01","British Columbia","2016A000259","Wheat, excluding durum","Tonnes","288","units","0","v40070","1.3","15369","","","","0"
"2012-02","British Columbia","2016A000259","Wheat, excluding durum","Tonnes","288","units","0","v40070","1.3","25543","","","","0"
